accept           受け
number           数
add              加える
flg              フラグ
top              トップ
month            月
description      説明
old              古い
table            テーブル
method           方法
img              画像
sp               スマートフォン
work             仕事
plan             計画
year             年
time             時間
employment       雇用
day              日
search           検索
station          駅
range            レンジ
memo             メモ
send             送信
start            開始
mobile           携帯電話
image            画像
addition         追加
process          プロセス
edit             編集
d                日
company          会社
career           キャリア
url              URL
entry            エントリー
regist           登録
max              最大
map              マップ
topic            トピック
app              アプリ
ip               IP
password         パスワード
connections      接続
at               場所
site             サイト
area             エリア
post             記事
fax              ファックス
check            チェック
holiday          休日
home             ホーム
login            ログイン
name             名前
attention        注目
keywords         キーワード
req              要求
rep              返信
clip             クリップ
y                年
form             フォーム
tel              電話番号
delete           削除
user            ユーザー
type             タイプ
job              仕事
m                月
access           アクセス
admin            管理者
disp             表示
remarks          備考
sort             ソート
address          住所
message          メッセージ
back             バック
mail             郵便
category         カテゴリ
h                時
info             情報
